Best parameters set found on development set:

{'learning_rate': 0.25, 'max_depth': 5, 'n_estimators': 30}

Grid scores on development set:

0.542 (+/-0.085) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 10}
0.605 (+/-0.082) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 15}
0.622 (+/-0.093) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 20}
0.653 (+/-0.066) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 25}
0.677 (+/-0.057) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 30}
0.598 (+/-0.085) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}
0.669 (+/-0.065) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 15}
0.680 (+/-0.069) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 20}
0.694 (+/-0.052) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25}
0.708 (+/-0.061) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 30}
0.648 (+/-0.071) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 10}
0.689 (+/-0.061) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 15}
0.697 (+/-0.066) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 20}
0.712 (+/-0.059) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 25}
0.717 (+/-0.053) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 30}
0.660 (+/-0.074) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}
0.690 (+/-0.081) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 15}
0.702 (+/-0.072) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}
0.711 (+/-0.074) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25}
0.717 (+/-0.062) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30}
0.663 (+/-0.062) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 10}
0.690 (+/-0.074) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 15}
0.706 (+/-0.058) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 20}
0.717 (+/-0.058) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 25}
0.727 (+/-0.047) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 30}
0.602 (+/-0.078) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 10}
0.662 (+/-0.071) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 15}
0.670 (+/-0.046) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20}
0.688 (+/-0.045) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 25}
0.700 (+/-0.059) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 30}
0.673 (+/-0.055) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}
0.687 (+/-0.042) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 15}
0.700 (+/-0.056) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 20}
0.712 (+/-0.065) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 25}
0.720 (+/-0.066) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 30}
0.687 (+/-0.060) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 10}
0.705 (+/-0.074) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 15}
0.715 (+/-0.061) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 20}
0.725 (+/-0.055) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 25}
0.733 (+/-0.057) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 30}
0.691 (+/-0.063) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 10}
0.704 (+/-0.061) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 15}
0.713 (+/-0.055) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 20}
0.730 (+/-0.055) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 25}
0.734 (+/-0.060) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 30}
0.699 (+/-0.057) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 10}
0.716 (+/-0.052) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 15}
0.724 (+/-0.055) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 20}
0.737 (+/-0.047) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 25}
0.740 (+/-0.046) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 30}
0.661 (+/-0.082) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 10}
0.676 (+/-0.063) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 15}
0.692 (+/-0.053) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 20}
