Best parameters set found on development set:

{'min_samples_leaf': 1, 'min_samples_split': 63}

Grid scores on development set:

0.678 (+/-0.066) for {'min_samples_leaf': 1, 'min_samples_split': 40}
0.677 (+/-0.067) for {'min_samples_leaf': 1, 'min_samples_split': 41}
0.676 (+/-0.072) for {'min_samples_leaf': 1, 'min_samples_split': 42}
0.675 (+/-0.077) for {'min_samples_leaf': 1, 'min_samples_split': 43}
0.679 (+/-0.092) for {'min_samples_leaf': 1, 'min_samples_split': 44}
0.680 (+/-0.076) for {'min_samples_leaf': 1, 'min_samples_split': 45}
0.685 (+/-0.087) for {'min_samples_leaf': 1, 'min_samples_split': 46}
0.685 (+/-0.087) for {'min_samples_leaf': 1, 'min_samples_split': 47}
0.686 (+/-0.085) for {'min_samples_leaf': 1, 'min_samples_split': 48}
0.687 (+/-0.079) for {'min_samples_leaf': 1, 'min_samples_split': 49}
0.689 (+/-0.083) for {'min_samples_leaf': 1, 'min_samples_split': 50}
0.688 (+/-0.081) for {'min_samples_leaf': 1, 'min_samples_split': 51}
0.684 (+/-0.075) for {'min_samples_leaf': 1, 'min_samples_split': 52}
0.684 (+/-0.075) for {'min_samples_leaf': 1, 'min_samples_split': 53}
0.685 (+/-0.071) for {'min_samples_leaf': 1, 'min_samples_split': 54}
0.685 (+/-0.078) for {'min_samples_leaf': 1, 'min_samples_split': 55}
0.685 (+/-0.080) for {'min_samples_leaf': 1, 'min_samples_split': 56}
0.685 (+/-0.080) for {'min_samples_leaf': 1, 'min_samples_split': 57}
0.683 (+/-0.078) for {'min_samples_leaf': 1, 'min_samples_split': 58}
0.684 (+/-0.077) for {'min_samples_leaf': 1, 'min_samples_split': 59}
0.688 (+/-0.064) for {'min_samples_leaf': 1, 'min_samples_split': 60}
0.689 (+/-0.067) for {'min_samples_leaf': 1, 'min_samples_split': 61}
0.689 (+/-0.067) for {'min_samples_leaf': 1, 'min_samples_split': 62}
0.691 (+/-0.069) for {'min_samples_leaf': 1, 'min_samples_split': 63}
0.690 (+/-0.067) for {'min_samples_leaf': 1, 'min_samples_split': 64}
0.686 (+/-0.060) for {'min_samples_leaf': 1, 'min_samples_split': 65}
0.689 (+/-0.055) for {'min_samples_leaf': 1, 'min_samples_split': 66}
0.689 (+/-0.055) for {'min_samples_leaf': 1, 'min_samples_split': 67}
0.690 (+/-0.060) for {'min_samples_leaf': 1, 'min_samples_split': 68}
0.690 (+/-0.062) for {'min_samples_leaf': 1, 'min_samples_split': 69}
0.667 (+/-0.072) for {'min_samples_leaf': 2, 'min_samples_split': 40}
0.670 (+/-0.069) for {'min_samples_leaf': 2, 'min_samples_split': 41}
0.666 (+/-0.064) for {'min_samples_leaf': 2, 'min_samples_split': 42}
0.669 (+/-0.081) for {'min_samples_leaf': 2, 'min_samples_split': 43}
0.667 (+/-0.079) for {'min_samples_leaf': 2, 'min_samples_split': 44}
0.674 (+/-0.081) for {'min_samples_leaf': 2, 'min_samples_split': 45}
0.675 (+/-0.076) for {'min_samples_leaf': 2, 'min_samples_split': 46}
0.675 (+/-0.080) for {'min_samples_leaf': 2, 'min_samples_split': 47}
0.678 (+/-0.082) for {'min_samples_leaf': 2, 'min_samples_split': 48}
0.680 (+/-0.089) for {'min_samples_leaf': 2, 'min_samples_split': 49}
0.681 (+/-0.091) for {'min_samples_leaf': 2, 'min_samples_split': 50}
0.681 (+/-0.091) for {'min_samples_leaf': 2, 'min_samples_split': 51}
0.680 (+/-0.088) for {'min_samples_leaf': 2, 'min_samples_split': 52}
0.680 (+/-0.084) for {'min_samples_leaf': 2, 'min_samples_split': 53}
0.679 (+/-0.087) for {'min_samples_leaf': 2, 'min_samples_split': 54}
0.680 (+/-0.082) for {'min_samples_leaf': 2, 'min_samples_split': 55}
0.682 (+/-0.088) for {'min_samples_leaf': 2, 'min_samples_split': 56}
0.680 (+/-0.090) for {'min_samples_leaf': 2, 'min_samples_split': 57}
0.679 (+/-0.089) for {'min_samples_leaf': 2, 'min_samples_split': 58}
0.680 (+/-0.086) for {'min_samples_leaf': 2, 'min_samples_split': 59}
0.684 (+/-0.071) for {'min_samples_leaf': 2, 'min_samples_split': 60}
0.683 (+/-0.070) for {'min_samples_leaf': 2, 'min_samples_split': 61}
0.683 (+/-0.068) for {'min_samples_leaf': 2, 'min_samples_split': 62}
0.688 (+/-0.078) for {'min_samples_leaf': 2, 'min_samples_split': 63}
0.688 (+/-0.081) for {'min_samples_leaf': 2, 'min_samples_split': 64}
0.682 (+/-0.070) for {'min_samples_leaf': 2, 'min_samples_split': 65}
0.686 (+/-0.062) for {'min_samples_leaf': 2, 'min_samples_split': 66}
0.686 (+/-0.063) for {'min_samples_leaf': 2, 'min_samples_split': 67}
0.685 (+/-0.068) for {'min_samples_leaf': 2, 'min_samples_split': 68}
0.685 (+/-0.071) for {'min_samples_leaf': 2, 'min_samples_split': 69}
0.662 (+/-0.068) for {'min_samples_leaf': 3, 'min_samples_split': 40}
0.662 (+/-0.066) for {'min_samples_leaf': 3, 'min_samples_split': 41}
0.665 (+/-0.071) for {'min_samples_leaf': 3, 'min_samples_split': 42}
0.667 (+/-0.085) for {'min_samples_leaf': 3, 'min_samples_split': 43}
