Best parameters set found on development set:

{'alpha': 0.001, 'hidden_layer_sizes': 13, 'random_state': 1}

Grid scores on development set:

0.240 (+/-0.050) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'random_state': 1}
0.188 (+/-0.242) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'random_state': 0}
0.099 (+/-0.149) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'random_state': 1}
0.203 (+/-0.106) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.052) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'random_state': 0}
0.226 (+/-0.090) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'random_state': 1}
0.011 (+/-0.034) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'random_state': 1}
0.244 (+/-0.075) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'random_state': 0}
0.205 (+/-0.059) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'random_state': 1}
0.240 (+/-0.311) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'random_state': 0}
0.130 (+/-0.228) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'random_state': 1}
0.187 (+/-0.245) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'random_state': 0}
0.314 (+/-0.237) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'random_state': 1}
0.210 (+/-0.248) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'random_state': 0}
0.280 (+/-0.337) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'random_state': 1}
0.251 (+/-0.166) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'random_state': 0}
0.140 (+/-0.221) for {'alpha': 0.01, 'hidden_layer_sizes': 6, 'random_state': 1}
0.204 (+/-0.107) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.052) for {'alpha': 0.01, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'random_state': 0}
0.239 (+/-0.078) for {'alpha': 0.01, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 0.01, 'hidden_layer_sizes': 9, 'random_state': 1}
0.007 (+/-0.029) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'random_state': 0}
0.219 (+/-0.046) for {'alpha': 0.01, 'hidden_layer_sizes': 10, 'random_state': 1}
0.245 (+/-0.073) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'random_state': 0}
0.213 (+/-0.021) for {'alpha': 0.01, 'hidden_layer_sizes': 11, 'random_state': 1}
0.156 (+/-0.213) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'random_state': 0}
0.129 (+/-0.245) for {'alpha': 0.01, 'hidden_layer_sizes': 12, 'random_state': 1}
0.133 (+/-0.203) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'random_state': 0}
0.141 (+/-0.059) for {'alpha': 0.01, 'hidden_layer_sizes': 13, 'random_state': 1}
0.088 (+/-0.102) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'random_state': 0}
0.227 (+/-0.198) for {'alpha': 0.01, 'hidden_layer_sizes': 14, 'random_state': 1}
0.240 (+/-0.050) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'random_state': 0}
0.017 (+/-0.014) for {'alpha': 0.001, 'hidden_layer_sizes': 5, 'random_state': 1}
0.187 (+/-0.241) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'random_state': 0}
0.241 (+/-0.329) for {'alpha': 0.001, 'hidden_layer_sizes': 6, 'random_state': 1}
0.205 (+/-0.112) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'random_state': 0}
0.214 (+/-0.052) for {'alpha': 0.001, 'hidden_layer_sizes': 7, 'random_state': 1}
0.165 (+/-0.042) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'random_state': 0}
0.190 (+/-0.057) for {'alpha': 0.001, 'hidden_layer_sizes': 8, 'random_state': 1}
0.236 (+/-0.081) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'random_state': 0}
0.176 (+/-0.026) for {'alpha': 0.001, 'hidden_layer_sizes': 9, 'random_state': 1}
0.045 (+/-0.123) for {'alpha': 0.001, 'hidden_layer_sizes': 10, 'random_state': 0}
