Best parameters set found on development set:

{'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 25}

Grid scores on development set:

0.862 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 10}
0.868 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 15}
0.871 (+/-0.033) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 20}
0.872 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 25}
0.871 (+/-0.033) for {'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 30}
0.866 (+/-0.024) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}
0.876 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 15}
0.877 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 20}
0.876 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 25}
0.876 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 30}
0.866 (+/-0.029) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 10}
0.873 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 15}
0.876 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 20}
0.877 (+/-0.030) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 25}
0.873 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 30}
0.871 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 10}
0.876 (+/-0.031) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 15}
0.875 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 20}
0.877 (+/-0.032) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 25}
0.878 (+/-0.034) for {'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 30}
0.867 (+/-0.027) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 10}
0.869 (+/-0.038) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 15}
0.872 (+/-0.035) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 20}
0.873 (+/-0.042) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 25}
0.876 (+/-0.043) for {'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 30}
0.866 (+/-0.031) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 10}
0.872 (+/-0.033) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 15}
0.869 (+/-0.035) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 20}
0.871 (+/-0.037) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 25}
0.870 (+/-0.034) for {'learning_rate': 0.15, 'max_depth': 2, 'n_estimators': 30}
0.876 (+/-0.031) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 10}
0.876 (+/-0.030) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 15}
0.876 (+/-0.037) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 20}
0.876 (+/-0.042) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 25}
0.874 (+/-0.044) for {'learning_rate': 0.15, 'max_depth': 3, 'n_estimators': 30}
0.875 (+/-0.028) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 10}
0.877 (+/-0.038) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 15}
0.877 (+/-0.038) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 20}
0.879 (+/-0.036) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 25}
0.876 (+/-0.036) for {'learning_rate': 0.15, 'max_depth': 4, 'n_estimators': 30}
0.876 (+/-0.032) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 10}
0.877 (+/-0.031) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 15}
0.875 (+/-0.032) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 20}
0.875 (+/-0.033) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 25}
0.876 (+/-0.038) for {'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 30}
0.870 (+/-0.039) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 10}
0.871 (+/-0.042) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 15}
0.872 (+/-0.037) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 20}
0.873 (+/-0.042) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 25}
0.869 (+/-0.039) for {'learning_rate': 0.15, 'max_depth': 6, 'n_estimators': 30}
0.871 (+/-0.034) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 10}
0.869 (+/-0.039) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 15}
0.872 (+/-0.037) for {'learning_rate': 0.2, 'max_depth': 2, 'n_estimators': 20}
