Best parameters set found on development set:

{'min_samples_leaf': 9, 'min_samples_split': 42}

Grid scores on development set:

0.854 (+/-0.047) for {'min_samples_leaf': 1, 'min_samples_split': 40}
0.853 (+/-0.047) for {'min_samples_leaf': 1, 'min_samples_split': 41}
0.853 (+/-0.047) for {'min_samples_leaf': 1, 'min_samples_split': 42}
0.852 (+/-0.044) for {'min_samples_leaf': 1, 'min_samples_split': 43}
0.851 (+/-0.044) for {'min_samples_leaf': 1, 'min_samples_split': 44}
0.852 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 45}
0.853 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 46}
0.853 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 47}
0.853 (+/-0.044) for {'min_samples_leaf': 1, 'min_samples_split': 48}
0.853 (+/-0.044) for {'min_samples_leaf': 1, 'min_samples_split': 49}
0.852 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 50}
0.854 (+/-0.042) for {'min_samples_leaf': 1, 'min_samples_split': 51}
0.854 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 52}
0.854 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 53}
0.854 (+/-0.042) for {'min_samples_leaf': 1, 'min_samples_split': 54}
0.856 (+/-0.039) for {'min_samples_leaf': 1, 'min_samples_split': 55}
0.855 (+/-0.043) for {'min_samples_leaf': 1, 'min_samples_split': 56}
0.855 (+/-0.042) for {'min_samples_leaf': 1, 'min_samples_split': 57}
0.855 (+/-0.042) for {'min_samples_leaf': 1, 'min_samples_split': 58}
0.855 (+/-0.040) for {'min_samples_leaf': 1, 'min_samples_split': 59}
0.856 (+/-0.038) for {'min_samples_leaf': 1, 'min_samples_split': 60}
0.857 (+/-0.037) for {'min_samples_leaf': 1, 'min_samples_split': 61}
0.856 (+/-0.039) for {'min_samples_leaf': 1, 'min_samples_split': 62}
0.856 (+/-0.038) for {'min_samples_leaf': 1, 'min_samples_split': 63}
0.856 (+/-0.039) for {'min_samples_leaf': 1, 'min_samples_split': 64}
0.856 (+/-0.040) for {'min_samples_leaf': 1, 'min_samples_split': 65}
0.856 (+/-0.039) for {'min_samples_leaf': 1, 'min_samples_split': 66}
0.857 (+/-0.039) for {'min_samples_leaf': 1, 'min_samples_split': 67}
0.858 (+/-0.041) for {'min_samples_leaf': 1, 'min_samples_split': 68}
0.858 (+/-0.042) for {'min_samples_leaf': 1, 'min_samples_split': 69}
0.867 (+/-0.049) for {'min_samples_leaf': 2, 'min_samples_split': 40}
0.865 (+/-0.053) for {'min_samples_leaf': 2, 'min_samples_split': 41}
0.865 (+/-0.048) for {'min_samples_leaf': 2, 'min_samples_split': 42}
0.865 (+/-0.049) for {'min_samples_leaf': 2, 'min_samples_split': 43}
0.862 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 44}
0.863 (+/-0.045) for {'min_samples_leaf': 2, 'min_samples_split': 45}
0.863 (+/-0.045) for {'min_samples_leaf': 2, 'min_samples_split': 46}
0.863 (+/-0.045) for {'min_samples_leaf': 2, 'min_samples_split': 47}
0.863 (+/-0.047) for {'min_samples_leaf': 2, 'min_samples_split': 48}
0.864 (+/-0.045) for {'min_samples_leaf': 2, 'min_samples_split': 49}
0.865 (+/-0.047) for {'min_samples_leaf': 2, 'min_samples_split': 50}
0.864 (+/-0.047) for {'min_samples_leaf': 2, 'min_samples_split': 51}
0.864 (+/-0.047) for {'min_samples_leaf': 2, 'min_samples_split': 52}
0.865 (+/-0.048) for {'min_samples_leaf': 2, 'min_samples_split': 53}
0.865 (+/-0.047) for {'min_samples_leaf': 2, 'min_samples_split': 54}
0.864 (+/-0.041) for {'min_samples_leaf': 2, 'min_samples_split': 55}
0.864 (+/-0.042) for {'min_samples_leaf': 2, 'min_samples_split': 56}
0.866 (+/-0.043) for {'min_samples_leaf': 2, 'min_samples_split': 57}
0.866 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 58}
0.866 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 59}
0.867 (+/-0.042) for {'min_samples_leaf': 2, 'min_samples_split': 60}
0.867 (+/-0.042) for {'min_samples_leaf': 2, 'min_samples_split': 61}
0.866 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 62}
0.866 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 63}
0.866 (+/-0.043) for {'min_samples_leaf': 2, 'min_samples_split': 64}
0.867 (+/-0.044) for {'min_samples_leaf': 2, 'min_samples_split': 65}
0.866 (+/-0.043) for {'min_samples_leaf': 2, 'min_samples_split': 66}
0.866 (+/-0.042) for {'min_samples_leaf': 2, 'min_samples_split': 67}
0.867 (+/-0.043) for {'min_samples_leaf': 2, 'min_samples_split': 68}
0.866 (+/-0.043) for {'min_samples_leaf': 2, 'min_samples_split': 69}
0.871 (+/-0.045) for {'min_samples_leaf': 3, 'min_samples_split': 40}
0.870 (+/-0.043) for {'min_samples_leaf': 3, 'min_samples_split': 41}
0.870 (+/-0.042) for {'min_samples_leaf': 3, 'min_samples_split': 42}
0.869 (+/-0.042) for {'min_samples_leaf': 3, 'min_samples_split': 43}
