Best parameters set found on development set:

{'alpha': 0.0001, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}

Grid scores on development set:

0.857 (+/-0.030) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
0.849 (+/-0.022) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 1}
0.857 (+/-0.030) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 0}
0.849 (+/-0.022) for {'alpha': 0.1, 'hidden_layer_sizes': 5, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.032) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 0}
0.859 (+/-0.024) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.032) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 0}
0.859 (+/-0.024) for {'alpha': 0.1, 'hidden_layer_sizes': 6, 'max_iter': 2000, 'random_state': 1}
0.858 (+/-0.032) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 0}
0.847 (+/-0.025) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'max_iter': 1000, 'random_state': 1}
0.858 (+/-0.032) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 0}
0.847 (+/-0.025) for {'alpha': 0.1, 'hidden_layer_sizes': 7, 'max_iter': 2000, 'random_state': 1}
0.862 (+/-0.028) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 0}
0.854 (+/-0.029) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'max_iter': 1000, 'random_state': 1}
0.862 (+/-0.028) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 0}
0.854 (+/-0.029) for {'alpha': 0.1, 'hidden_layer_sizes': 8, 'max_iter': 2000, 'random_state': 1}
0.860 (+/-0.039) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 0}
0.856 (+/-0.024) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'max_iter': 1000, 'random_state': 1}
0.860 (+/-0.039) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 0}
0.856 (+/-0.024) for {'alpha': 0.1, 'hidden_layer_sizes': 9, 'max_iter': 2000, 'random_state': 1}
0.853 (+/-0.042) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.036) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 1000, 'random_state': 1}
0.853 (+/-0.042) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.036) for {'alpha': 0.1, 'hidden_layer_sizes': 10, 'max_iter': 2000, 'random_state': 1}
0.855 (+/-0.037) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 0}
0.862 (+/-0.030) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'max_iter': 1000, 'random_state': 1}
0.855 (+/-0.037) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 0}
0.862 (+/-0.030) for {'alpha': 0.1, 'hidden_layer_sizes': 11, 'max_iter': 2000, 'random_state': 1}
0.863 (+/-0.023) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 0}
0.861 (+/-0.022) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'max_iter': 1000, 'random_state': 1}
0.863 (+/-0.023) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 0}
0.861 (+/-0.022) for {'alpha': 0.1, 'hidden_layer_sizes': 12, 'max_iter': 2000, 'random_state': 1}
0.849 (+/-0.031) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 0}
0.857 (+/-0.031) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'max_iter': 1000, 'random_state': 1}
0.849 (+/-0.031) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 0}
0.857 (+/-0.031) for {'alpha': 0.1, 'hidden_layer_sizes': 13, 'max_iter': 2000, 'random_state': 1}
0.856 (+/-0.026) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 0}
0.853 (+/-0.025) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 1000, 'random_state': 1}
0.856 (+/-0.026) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 0}
0.853 (+/-0.025) for {'alpha': 0.1, 'hidden_layer_sizes': 14, 'max_iter': 2000, 'random_state': 1}
0.857 (+/-0.030) for {'alpha': 0.01, 'hidden_layer_sizes': 5, 'max_iter': 1000, 'random_state': 0}
